,Country/Region,location,continent,population_year,population,lat,lng
120,Malaysia,Malaysia,Asia,2022.0,33938216.0,4.5693754,102.2656823
121,Maldives,Maldives,Asia,2022.0,523798.0,3.7203503,73.2244152
122,Mali,Mali,Africa,2022.0,22593598.0,16.3700359,-2.2900239
123,Malta,Malta,Europe,2022.0,533293.0,35.8885993,14.4476911
124,Marshall Islands,Marshall Islands,Oceania,2022.0,41593.0,8.9995549,168.0002575
125,Mauritania,Mauritania,Africa,2022.0,4736146.0,20.2540382,-9.2399263
126,Mauritius,Mauritius,Africa,2022.0,1299478.0,-20.2759451,57.5703566
127,Mexico,Mexico,North America,2022.0,127504120.0,23.6585116,-102.0077097
128,Micronesia,Micronesia (country),Oceania,2022.0,114178.0,14.3113868,121.0698265
129,Moldova,Moldova,Europe,2022.0,3272993.0,47.2879608,28.5670941
130,Monaco,Monaco,Europe,2022.0,36491.0,43.7323492,7.4276832
131,Mongolia,Mongolia,Asia,2022.0,3398373.0,46.8250388,103.8499736
132,Montenegro,Montenegro,Europe,2022.0,627082.0,42.9868853,19.5180992
133,Montserrat,Montserrat,North America,2022.0,4413.0,16.7417041,-62.1916844
134,Morocco,Morocco,Africa,2022.0,37457976.0,31.1728205,-7.3362482
135,Mozambique,Mozambique,Africa,2022.0,32969520.0,-19.302233,34.9144977
136,Burma,Myanmar,Asia,2022.0,54179312.0,17.1750495,95.9999652
137,Namibia,Namibia,Africa,2022.0,2567024.0,-23.2335499,17.3231107
138,Nauru,Nauru,Oceania,2022.0,12691.0,-0.5252306,166.9324426
139,Nepal,Nepal,Asia,2022.0,30547586.0,28.1083929,84.0917139
140,Netherlands,Netherlands,Europe,2022.0,17564020.0,52.2434979,5.6343227
141,New Caledonia,New Caledonia,Oceania,2022.0,289959.0,-21.3019905,165.4880773
142,New Zealand,New Zealand,Oceania,2022.0,5185289.0,-41.5000831,172.8344077
143,Nicaragua,Nicaragua,North America,2022.0,6948395.0,12.6090157,-85.2936911
144,Niger,Niger,Africa,2022.0,26207982.0,17.7356214,9.3238432
145,Nigeria,Nigeria,Africa,2022.0,218541216.0,9.6000359,7.9999721
146,"Korea, North",North Korea,Asia,2022.0,26069416.0,40.3736611,127.0870417
147,North Macedonia,North Macedonia,Europe,2022.0,2093606.0,41.6171214,21.7168387
148,Norway,Norway,Europe,2022.0,5434324.0,61.1529386,8.7876653
149,Oman,Oman,Asia,2022.0,4576300.0,21.0000287,57.0036901
150,Pakistan,Pakistan,Asia,2022.0,235824864.0,30.3308401,71.247499
151,Palau,Palau,Oceania,2022.0,18084.0,5.3783537,132.9102573
152,West Bank and Gaza,Palestine,Asia,2022.0,5250076.0,31.462420950000002,34.262716572130714
153,Panama,Panama,North America,2022.0,4408582.0,8.559559,-81.1308434
154,Papua New Guinea,Papua New Guinea,Oceania,2022.0,10142625.0,-5.6816069,144.2489081
155,Paraguay,Paraguay,South America,2022.0,6780745.0,-23.3165935,-58.1693445
156,Peru,Peru,South America,2022.0,34049588.0,-6.8699697,-75.0458515
157,Philippines,Philippines,Asia,2022.0,115559008.0,12.7503486,122.7312101
158,Poland,Poland,Europe,2022.0,39857144.0,52.215933,19.134422
159,Portugal,Portugal,Europe,2022.0,10270857.0,39.6621648,-8.1353519
160,Qatar,Qatar,Asia,2022.0,2695131.0,25.3336984,51.2295295
161,Romania,Romania,Europe,2022.0,19659270.0,45.9852129,24.6859225
162,Russia,Russia,Europe,2022.0,144713312.0,64.6863136,97.7453061
163,Rwanda,Rwanda,Africa,2022.0,13776702.0,-1.9646631,30.0644358
164,"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Africa,2022.0,5401.0,-15.96545515,-5.702575637953244
165,Saint Kitts and Nevis,Saint Kitts and Nevis,North America,2022.0,47681.0,17.250512,-62.6725973
166,Saint Lucia,Saint Lucia,North America,2022.0,179872.0,13.8250489,-60.975036
167,Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,2022.0,5885.0,46.783246899999995,-56.195158907484085
168,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,2022.0,103959.0,12.90447,-61.2765569
169,Samoa,Samoa,Oceania,2022.0,222390.0,-13.7693895,-172.12005
170,San Marino,San Marino,Europe,2022.0,33690.0,43.9458623,12.458306
171,Sao Tome and Principe,Sao Tome and Principe,Africa,2022.0,227393.0,0.9713095,7.02255
172,Saudi Arabia,Saudi Arabia,Asia,2022.0,36408824.0,25.6242618,42.3528328
173,Senegal,Senegal,Africa,2022.0,17316452.0,14.4750607,-14.4529612
174,Serbia,Serbia,Europe,2021.0,6871547.0,44.1534121,20.55144
175,Seychelles,Seychelles,Africa,2022.0,107135.0,-4.6574977,55.4540146
176,Sierra Leone,Sierra Leone,Africa,2022.0,8605723.0,8.6400349,-11.8400269
177,Singapore,Singapore,Asia,2022.0,5637022.0,1.357107,103.8194992
178,Slovakia,Slovakia,Europe,2022.0,5643455.0,48.7411522,19.4528646
179,Slovenia,Slovenia,Europe,2022.0,2119843.0,46.1199444,14.8153333
180,Solomon Islands,Solomon Islands,Oceania,2022.0,724272.0,-8.7053941,159.1070693851845
181,Somalia,Somalia,Africa,2022.0,17597508.0,8.3676771,49.083416
182,South Africa,South Africa,Africa,2022.0,59893884.0,-28.8166236,24.991639
183,"Korea, South",South Korea,Asia,2022.0,51815808.0,36.638392,127.6961188
184,South Sudan,South Sudan,Africa,2022.0,10913172.0,7.8699431,29.6667897
185,Spain,Spain,Europe,2022.0,47558632.0,39.3260685,-4.8379791
186,Sri Lanka,Sri Lanka,Asia,2022.0,21832150.0,7.877395849999999,80.66247852355892
187,Sudan,Sudan,Africa,2022.0,46874200.0,14.5844444,29.4917691
188,Suriname,Suriname,South America,2022.0,618046.0,4.1413025,-56.0771187
189,Sweden,Sweden,Europe,2022.0,10549349.0,59.6749712,14.5208584
190,Switzerland,Switzerland,Europe,2022.0,8740471.0,46.7985624,8.2319736
191,Syria,Syria,Asia,2022.0,22125242.0,34.6401861,39.0494106
192,Taiwan*,Taiwan,Asia,2022.0,23893396.0,23.9739374,120.9820179
193,Tajikistan,Tajikistan,Asia,2022.0,9952789.0,38.6281733,70.8156541
194,Tanzania,Tanzania,Africa,2022.0,65497752.0,-6.5247123,35.7878438
195,Thailand,Thailand,Asia,2022.0,71697024.0,14.8971921,100.83273
196,Timor-Leste,Timor,Asia,2022.0,1341298.0,-9.346017100000001,124.63707741045215
197,Togo,Togo,Africa,2022.0,8848700.0,8.7800265,1.0199765
198,Tonga,Tonga,Oceania,2022.0,106867.0,-19.9160819,-175.202642
199,Trinidad and Tobago,Trinidad and Tobago,North America,2022.0,1531043.0,10.7466905,-61.0840075
200,Tunisia,Tunisia,Africa,2022.0,12356116.0,33.8439408,9.400138
201,Turkey,Turkey,Asia,2022.0,85341248.0,38.9597594,34.9249653
202,Turks and Caicos Islands,Turks and Caicos Islands,North America,2022.0,45726.0,21.721746,-71.5527809
203,Tuvalu,Tuvalu,Oceania,2022.0,11335.0,-8.6405212,179.1582918181797
204,Uganda,Uganda,Africa,2022.0,47249588.0,1.5333554,32.2166578
205,Ukraine,Ukraine,Europe,2022.0,39701744.0,49.4871968,31.2718321
206,United Arab Emirates,United Arab Emirates,Asia,2022.0,9441138.0,24.0002488,53.9994829
207,United Kingdom,United Kingdom,Europe,2022.0,67508936.0,54.7023545,-3.2765753
208,US,United States,North America,2022.0,338289856.0,39.7837304,-100.445882
209,Uruguay,Uruguay,South America,2022.0,3422796.0,-32.8755548,-56.0201525
210,Uzbekistan,Uzbekistan,Asia,2022.0,34627648.0,41.32373,63.9528098
211,Vanuatu,Vanuatu,Oceania,2022.0,326744.0,-16.5255069,168.1069154
212,Holy See,Vatican,Europe,2022.0,808.0,41.903411,12.4528527
213,Venezuela,Venezuela,South America,2022.0,28301700.0,8.0018709,-66.1109318
214,Vietnam,Vietnam,Asia,2022.0,98186856.0,15.9266657,107.9650855
215,Wallis and Futuna,Wallis and Futuna,Oceania,2022.0,11596.0,-13.289402,-176.204224
216,Yemen,Yemen,Asia,2022.0,33696612.0,16.3471243,47.8915271
217,Zambia,Zambia,Africa,2022.0,20017670.0,-14.5189121,27.5589884
218,Zimbabwe,Zimbabwe,Africa,2022.0,16320539.0,-18.4554963,29.7468414
